region,2021-08-21,2021-09-21,2021-10-21,2021-11-21,2021-12-21,2022-01-22,2022-02-22,2022-03-22,2022-04-22,2022-05-22,2022-06-22,2022-07-22,2022-08-22
전북 익산시,143075,144026,144644,145208,145371,145642,145923,146138,146501,146581,146599,146638,146704
전북 정읍시,231254,232859,233573,233825,233787,233459,232928,232026,231313,230483,229251,228508,227637
전북 남원시,238724,238834,239303,239611,239702,239251,238823,237813,237127,237056,235963,235193,234204
전북 김제시,206025,209000,212549,214587,216189,217811,218507,219251,219721,219683,219687,219467,218718
전남 목포시,111514,111486,111656,111750,111434,111094,110515,110033,109790,109334,108772,107984,106831
전남 여수시,199410,201369,206107,208869,210426,211443,211861,212172,212734,213034,213305,213302,213210
전남 순천시,195650,196842,199023,199930,200034,200171,200078,199892,200114,200023,199397,198751,198062
전남 나주시,204003,205410,208608,209178,209114,209557,209422,209341,209763,209628,208724,207687,206786
전남 광양시,189281,190308,191715,192877,193111,193014,192952,192687,192756,192699,192285,191937,191410
전남 무안군,160665,161245,163019,164391,165500,166249,166647,167247,167819,167958,167845,167457,166720
경북 포항시,172517,174099,176325,178320,179153,179389,178869,178798,178485,178199,177630,176869,176539
경북 포항시 남구,148795,150039,151587,152811,154450,155671,156452,156956,158128,158776,159447,159562,159512
경북 포항시 북구,179795,181821,183891,185696,187217,188058,188103,188179,188357,188342,188325,187824,186922
경북 경주시,123038,123167,122744,122453,122371,122660,122756,123332,123706,123904,124031,124624,124995
경북 김천시,98549,98530,98520,98580,98445,98257,98221,98177,98128,98143,98156,98256,98220
경북 안동시,131542,131483,131610,131668,131673,131547,131531,131515,131505,131481,131454,131475,131580
경북 구미시,150477,150925,153789,155864,157005,157259,157736,158034,157857,157816,158000,157955,157998
경북 영주시,210525,210779,211092,211230,211371,211410,211301,211235,211237,211006,210527,210146,207636
경북 영천시,115670,116473,117750,118648,119315,120138,120303,120377,120324,120440,120452,120326,120334
경북 상주시,275270,278425,284767,290501,293758,295436,296850,298009,299048,300410,300660,299520,295388
경북 문경시,342965,345058,355442,362193,367520,368419,369506,369530,368865,369098,365699,362015,354823
경북 경산시,362341,367912,376619,383192,386830,389042,390508,391261,391466,391788,390927,387890,378235
경북 칠곡군,196330,200114,206322,211984,215653,217527,219919,222601,225428,228766,230796,231348,231256
경남 창원시,210489,212237,216274,221198,224278,225748,226971,228355,229769,231054,232173,232591,232018
경남 창원시 의창구,220348,221446,222987,227391,228033,229571,230439,231535,233271,235411,238004,238872,238621
경남 창원시 성산구,231218,232502,234386,236160,237044,237785,239158,240546,241754,242668,243340,243578,243351
경남 창원시 마산합포구,174385,176308,177065,177773,178241,178529,178656,178689,178970,179292,180064,180228,179873
경남 창원시 마산회원구,118714,118937,119352,119764,119985,119980,120128,120510,120671,121060,121278,121358,121382
경남 창원시 진해구,229235,231636,234811,237439,238739,238976,239014,239115,238746,237789,237535,237099,236352
경남 진주시,154517,155741,157747,158951,159974,160545,160701,161126,161315,161136,161276,161617,161637
경남 통영시,166730,167782,169291,170697,171214,171558,172081,172487,173521,173605,173831,173682,173082
경남 사천시,228207,231402,234331,235898,236563,236950,237268,237477,237662,237948,238003,237945,237152
경남 김해시,345366,352627,360804,366008,368148,369488,370483,371288,371641,372231,373037,373270,372747
경남 밀양시,232347,233847,235890,239008,239803,240194,241050,241524,241910,242268,242776,242533,242096
경남 거제시,,,,,,,,,,,,,
경남 양산시,,,,,,,,,,,,,
제주 제주시,,,,,,,,,,,,,
제주 서귀포시,,,,,,,,,,,,,
